image_id,mean_intensity,std_intensity,min_intensity,max_intensity
train_000,0.023034215,0.03715253,0.0,0.34678861
train_001,0.035814963,0.07154978,0.0,0.34678861
train_002,0.019912317,0.04934287,0.0,0.34678861
train_003,0.04300762,0.07306921,0.0,0.34678861
train_004,0.070398055,0.10365242,0.0,0.34678861
train_005,0.035884276,0.07668606,0.0,0.34678861
train_006,0.01915895,0.03375674,0.0,0.34678861
train_007,0.021980457,0.05377903,0.0,0.34678861
train_008,0.02112512,0.047572386,0.0,0.34678861
train_009,0.031352088,0.061837763,0.0,0.34678861
train_010,0.056947447,0.08944707,0.0,0.34678861
train_011,0.040751137,0.07177586,0.0,0.34678861
train_012,0.026372116,0.054533433,0.0,0.34678861
train_013,0.04060467,0.0766475,0.0,0.34678861
train_014,0.044016227,0.07639351,0.0,0.34678861
train_015,0.03495063,0.07410416,0.0,0.34678861
train_016,0.04459933,0.08307452,0.0,0.34678861
train_017,0.03827244,0.07765954,0.0,0.34678861
train_018,0.024133828,0.036507346,0.0,0.34678861
train_019,0.03357887,0.07292124,0.0,0.34678861
train_020,0.033392277,0.06002311,0.0,0.34678861
train_021,0.02300995,0.049322348,0.0,0.34678861
train_022,0.051458266,0.09203514,0.0,0.34678861
train_023,0.044577695,0.07806149,0.0,0.34678861
train_024,0.02016656,0.037395645,0.0,0.34678861
train_025,0.02795571,0.061477385,0.0,0.34678861
train_026,0.03711509,0.069441766,0.0,0.34678861
train_027,0.035737053,0.066907145,0.0,0.34678861
train_028,0.049760714,0.08688016,0.0,0.34678861
train_029,0.03661027,0.07521472,0.0,0.34678861
train_030,0.02081791,0.042523514,0.0,0.34678861
train_031,0.029781997,0.06875633,0.0,0.34678861
train_032,0.0242857,0.051074557,0.0,0.34678861
train_033,0.03598933,0.06041745,0.0,0.34678861
train_034,0.06419897,0.09522171,0.0,0.34678861
train_035,0.042224508,0.081109054,0.0,0.34678861
train_036,0.024576467,0.03937983,0.0,0.34678861
train_037,0.027429651,0.060240105,0.0,0.34678861
train_038,0.03666032,0.072759554,0.0,0.34678861
train_039,0.039392363,0.08042882,0.0,0.34678861
train_040,0.06679625,0.097941905,0.0,0.34678861
train_041,0.04773818,0.07946963,0.0,0.34678861
train_042,0.023284353,0.033579633,0.0,0.34678861
train_043,0.03132776,0.06907337,0.0,0.34678861
train_044,0.023838965,0.05758561,0.0,0.34678861
train_045,0.029488621,0.057078827,0.0,0.34678861
train_046,0.07255538,0.103582256,0.0,0.34678861
train_047,0.044933252,0.08115127,0.0,0.34678861
train_048,0.022168297,0.0379427,0.0,0.34678861
train_049,0.0366533,0.07218862,0.0,0.34678861
train_050,0.023900377,0.056778762,0.0,0.34678861
train_051,0.038064916,0.06630205,0.0,0.34678861
train_052,0.04810705,0.085491896,0.0,0.34678861
train_053,0.034747344,0.06928734,0.0,0.34678861
train_054,0.0151219135,0.040864352,0.0,0.34678861
train_055,0.025748748,0.050667502,0.0,0.34678861
train_056,0.02220524,0.05257002,0.0,0.34678861
train_057,0.029692162,0.06164848,0.0,0.34678861
train_058,0.05274609,0.087024085,0.0,0.34678861
train_059,0.037564866,0.08055732,0.0,0.34678861
train_060,0.0142105725,0.033206344,0.0,0.34678861
train_061,0.021976806,0.054374743,0.0,0.34678861
train_062,0.037453927,0.068147905,0.0,0.34678861
train_063,0.03341417,0.07076113,0.0,0.34678861
train_064,0.067019805,0.09941144,0.0,0.34678861
train_065,0.039390385,0.08174117,0.0,0.34678861
train_066,0.014931822,0.036840647,0.0,0.34678861
train_067,0.028798044,0.051414367,0.0,0.34678861
train_068,0.04840754,0.07770146,0.0,0.34678861
train_069,0.03639602,0.062845275,0.0,0.34678861
train_070,0.05431311,0.08605472,0.0,0.34678861
train_071,0.038760796,0.07041894,0.0,0.34678861
train_072,0.016839799,0.03219405,0.0,0.34678861
train_073,0.04023549,0.07380673,0.0,0.34678861
train_074,0.042397935,0.07638812,0.0,0.34678861
train_075,0.03306742,0.065085724,0.0,0.34678861
train_076,0.067164674,0.10193437,0.0,0.34678861
train_077,0.036737517,0.07150937,0.0,0.34678861
train_078,0.025922198,0.044879444,0.0,0.34678861
train_079,0.04100322,0.068132,0.0,0.34678861
